YEAR,CONF,CONF ID,QUAD NO,QUAD ID,TEAM NO,TEAM ID,TEAM,SEED,ROUND,K TEMPO,K TEMPO RANK,KADJ T,KADJ T RANK,K OFF,KO RANK,KADJ O,KADJ O RANK,K DEF,KD RANK,KADJ D,KADJ D RANK,KADJ EM,KADJ EM RANK,BADJ EM,BADJ O,BADJ D,BARTHAG,GAMES,W,L,WIN%,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%,RAW T,2PT%,2PT%D,3PT%,3PT%D,BLK%,BLKED%,AST%,OP AST%,2PTR,3PTR,2PTRD,3PTRD,BADJ T,AVG HGT,EFF HGT,EXP,TALENT,FT%,OP FT%,PPPO,PPPD,ELITE SOS,WAB,BADJ EM RANK,BADJ O RANK,BADJ D RANK,BARTHAG RANK,EFG% RANK,EFGD% RANK,FTR RANK,FTRD RANK,TOV% RANK,TOV%D RANK,OREB% RANK,DREB% RANK,OP OREB% RANK,OP DREB% RANK,RAW T RANK,2PT% RANK,2PT%D RANK,3PT% RANK,3PT%D RANK,BLK% RANK,BLKED% RANK,AST% RANK,OP AST% RANK,2PTR RANK,3PTR RANK,2PTRD RANK,3PTRD RANK,BADJT RANK,AVG HGT RANK,EFF HGT RANK,EXP RANK,TALENT RANK,FT% RANK,OP FT% RANK,PPPO RANK,PPPD RANK,ELITE SOS RANK,RANK,PAKE,PASE,last10_adjoe,last10_adjde,last10_adjEM,last10_barthag,tourney_adjoe,tourney_adjde,tourney_adjEM,tourney_barthag
2025,ACC,2.0,65.0,1.0,1137.0,33.0,Clemson,5.0,64.0,65.0748,325.0,64.3278,327.0,115.072,32.0,118.69,24.0,98.5179,24.0,94.7724,15.0,23.9175,18.0,23.495,118.345,94.85,0.927,33.0,27.0,6.0,81.81818,53.6,48.9,28.2,27.6,15.7,20.1,33.7,70.1,29.9,66.3,65.1,52.3,49.3,37.2,32.2,10.4,8.1,52.3,43.7,61.6,38.4,61.7,38.3,64.261,77.87,81.701,2.503,51.614,76.6,69.5,1.148,0.988,26.367,4.9,20.0,24.0,17.0,21.0,67.0,90.0,318.0,48.0,82.0,42.0,69.0,191.0,191.0,69.0,326.0,131.0,116.0,31.0,87.0,114.0,74.0,161.0,20.0,183.0,186.0,208.0,161.0,328.0,76.0,28.0,37.0,51.0,42.0,43.0,34.0,27.0,74.0,,,,,,,,,,,
2025,MWC,20.0,67.0,3.0,1136.0,39.0,Colorado St.,12.0,32.0,66.2955,271.0,66.0287,252.0,112.599,53.0,116.276,44.0,100.329,46.0,98.977,49.0,17.2994,42.0,18.279,116.879,98.6,0.876,34.0,25.0,9.0,73.52941,55.8,48.5,31.8,33.6,17.4,16.7,26.4,74.7,25.3,73.6,66.3,56.5,47.7,36.6,33.1,8.0,8.1,62.8,47.2,57.2,42.8,62.1,37.9,66.012,77.024,79.53,2.033,33.82,77.5,68.1,1.122,1.0,22.886,0.9,37.0,34.0,46.0,38.0,24.0,73.0,208.0,200.0,202.0,211.0,281.0,17.0,17.0,281.0,273.0,26.0,56.0,52.0,129.0,257.0,74.0,8.0,60.0,279.0,89.0,223.0,148.0,245.0,202.0,261.0,187.0,94.0,28.0,13.0,62.0,42.0,90.0,,,,,,,,,,,
2025,BE,8.0,67.0,3.0,1135.0,40.0,Connecticut,8.0,32.0,64.5293,340.0,63.7849,344.0,118.148,11.0,121.965,14.0,104.135,127.0,102.633,94.0,19.3318,35.0,19.585,121.595,102.01,0.883,33.0,23.0,10.0,69.69697,55.5,48.3,30.6,40.0,17.1,15.5,35.6,72.6,27.4,64.4,64.5,57.3,46.0,35.4,35.1,17.9,8.9,64.0,44.2,57.4,42.6,65.8,34.2,63.782,78.167,80.841,1.638,87.492,79.1,73.0,1.182,1.039,30.085,2.2,32.0,16.0,92.0,35.0,30.0,62.0,256.0,333.0,179.0,297.0,25.0,67.0,67.0,25.0,342.0,18.0,17.0,90.0,264.0,2.0,145.0,3.0,24.0,275.0,90.0,330.0,38.0,340.0,41.0,83.0,302.0,1.0,11.0,239.0,11.0,121.0,57.0,,,,,,,,,,,
2025,BE,8.0,68.0,4.0,1134.0,43.0,Creighton,9.0,32.0,67.6333,192.0,67.1073,192.0,110.76,81.0,116.968,35.0,102.225,82.0,98.2653,43.0,18.7025,37.0,19.093,117.334,98.241,0.885,34.0,24.0,10.0,70.58824,55.8,47.0,28.5,16.9,18.1,11.7,26.9,72.8,27.2,73.1,67.6,60.5,45.8,33.9,32.7,10.7,10.9,63.4,43.3,51.0,49.0,64.8,35.2,67.135,78.968,83.115,1.954,59.745,73.3,71.4,1.105,1.021,31.577,3.1,34.0,32.0,43.0,33.0,24.0,27.0,313.0,1.0,248.0,361.0,269.0,59.0,59.0,269.0,198.0,2.0,13.0,177.0,114.0,105.0,308.0,6.0,19.0,355.0,11.0,305.0,63.0,187.0,7.0,3.0,219.0,30.0,140.0,143.0,84.0,81.0,52.0,,,,,,,,,,,
2025,MVC,19.0,67.0,3.0,1133.0,48.0,Drake,11.0,32.0,59.5278,364.0,58.8833,364.0,113.293,45.0,112.641,76.0,98.3466,22.0,98.498,46.0,14.1426,58.0,14.072,112.538,98.466,0.823,31.0,28.0,3.0,90.32258,53.8,51.7,43.0,35.8,18.6,22.1,36.0,74.2,25.8,64.0,59.5,54.6,54.3,35.0,31.8,8.5,7.7,54.2,48.0,63.2,36.8,60.9,39.1,58.599,77.41,79.116,2.226,0.2,70.7,72.1,1.132,0.984,12.625,2.3,58.0,72.0,44.0,58.0,59.0,231.0,11.0,255.0,284.0,10.0,18.0,24.0,24.0,18.0,364.0,56.0,305.0,116.0,69.0,221.0,47.0,113.0,84.0,130.0,239.0,176.0,195.0,364.0,132.0,309.0,121.0,364.0,237.0,184.0,46.0,22.0,221.0,,,,,,,,,,,
2025,ACC,2.0,66.0,2.0,1132.0,50.0,Duke,1.0,4.0,66.5794,256.0,65.803,266.0,124.282,1.0,127.999,2.0,93.0646,3.0,89.847,4.0,38.1518,1.0,37.181,128.453,91.272,0.981,34.0,31.0,3.0,91.17647,57.4,44.5,32.1,25.4,14.4,17.7,35.2,73.5,26.5,64.8,66.6,58.0,43.4,37.7,30.9,10.6,9.7,58.1,51.4,54.6,45.4,62.1,37.9,65.706,79.763,82.221,0.968,80.734,78.4,71.5,1.242,0.93,30.63,9.6,1.0,2.0,4.0,2.0,5.0,3.0,204.0,23.0,22.0,138.0,36.0,40.0,40.0,36.0,260.0,9.0,3.0,22.0,36.0,109.0,219.0,50.0,171.0,314.0,52.0,223.0,148.0,267.0,1.0,8.0,361.0,3.0,18.0,149.0,1.0,3.0,55.0,,,,,,,,,,,
2025,SEC,28.0,67.0,3.0,1131.0,55.0,Florida,1.0,1.0,70.9277,43.0,69.5912,62.0,120.249,6.0,127.938,3.0,97.1962,18.0,92.1126,7.0,35.8258,2.0,33.693,127.699,94.006,0.971,34.0,30.0,4.0,88.23529,55.0,45.3,32.6,33.0,15.0,17.0,38.1,71.2,28.8,61.9,70.8,56.4,45.9,35.5,29.6,12.3,8.6,52.4,46.4,56.4,43.6,62.7,37.3,69.516,78.018,82.097,1.887,28.619,71.8,70.7,1.206,0.977,37.75,11.1,4.0,3.0,13.0,4.0,37.0,7.0,189.0,181.0,38.0,187.0,8.0,130.0,130.0,8.0,47.0,27.0,15.0,86.0,8.0,49.0,108.0,156.0,50.0,292.0,76.0,245.0,122.0,64.0,63.0,11.0,241.0,106.0,203.0,114.0,5.0,20.0,20.0,,,,,,,,,,,
2025,SEC,28.0,65.0,1.0,1130.0,65.0,Georgia,9.0,64.0,68.5473,149.0,66.4963,220.0,110.152,92.0,115.468,52.0,101.242,67.0,96.1035,26.0,19.3641,34.0,20.152,115.923,95.771,0.9,32.0,20.0,12.0,62.5,52.5,47.2,39.8,30.4,18.8,18.0,36.1,68.2,31.8,63.9,68.5,53.8,47.8,33.5,30.9,14.7,9.3,47.6,48.8,63.2,36.8,59.4,40.6,66.394,78.786,81.87,1.393,64.946,71.7,73.7,1.103,1.011,37.778,2.0,30.0,46.0,23.0,30.0,97.0,31.0,28.0,115.0,291.0,119.0,16.0,283.0,283.0,16.0,154.0,82.0,59.0,193.0,36.0,12.0,178.0,291.0,103.0,130.0,239.0,123.0,245.0,223.0,13.0,23.0,339.0,21.0,209.0,269.0,88.0,65.0,19.0,,,,,,,,,,,
2025,WCC,33.0,65.0,1.0,1129.0,68.0,Gonzaga,8.0,32.0,70.5386,53.0,70.2431,47.0,121.239,3.0,123.611,9.0,97.5072,19.0,96.3216,28.0,27.2891,9.0,26.877,123.304,96.427,0.944,33.0,25.0,8.0,75.75758,55.7,47.5,30.9,28.6,13.2,18.2,32.7,73.6,26.4,67.3,70.5,57.8,49.1,34.4,30.2,8.3,8.1,61.9,48.5,66.5,33.5,59.4,40.6,70.141,77.317,80.873,2.522,61.194,80.1,72.8,1.215,0.977,26.112,2.7,9.0,12.0,29.0,11.0,26.0,39.0,250.0,69.0,5.0,110.0,95.0,35.0,35.0,95.0,53.0,10.0,107.0,149.0,15.0,238.0,74.0,10.0,95.0,52.0,314.0,123.0,245.0,47.0,149.0,79.0,33.0,25.0,5.0,229.0,2.0,20.0,76.0,,,,,,,,,,,
2025,WAC,32.0,67.0,3.0,1128.0,69.0,Grand Canyon,13.0,64.0,72.5662,13.0,71.5151,14.0,107.787,140.0,107.859,149.0,95.8496,11.0,100.641,67.0,7.21812,93.0,9.061,108.532,99.471,0.732,32.0,25.0,7.0,78.125,51.2,47.0,43.9,32.2,18.4,20.6,32.5,71.4,28.6,67.5,72.6,53.2,46.4,31.6,32.1,13.0,8.7,52.1,48.4,66.4,33.6,65.6,34.4,71.467,77.889,80.515,2.47,26.711,73.5,73.1,1.077,0.956,10.398,-2.5,84.0,127.0,60.0,83.0,151.0,27.0,8.0,160.0,271.0,32.0,100.0,116.0,116.0,100.0,13.0,100.0,25.0,290.0,82.0,36.0,122.0,168.0,92.0,55.0,312.0,324.0,43.0,15.0,75.0,127.0,47.0,111.0,131.0,245.0,144.0,10.0,289.0,,,,,,,,,,,
2025,BSth,10.0,65.0,1.0,1127.0,252.0,High Point,13.0,64.0,67.1662,226.0,66.4904,222.0,121.342,2.0,118.496,25.0,104.975,153.0,109.181,227.0,9.31501,84.0,9.573,117.709,108.136,0.726,32.0,27.0,5.0,84.375,56.4,49.1,37.6,36.3,15.3,16.5,34.0,70.1,29.9,66.0,67.2,57.4,48.9,36.6,32.9,7.2,8.0,44.9,43.1,61.0,39.0,64.0,36.0,66.472,77.06,80.787,2.445,17.054,76.4,70.5,1.211,1.045,6.978,-1.8,81.0,29.0,213.0,85.0,13.0,95.0,54.0,270.0,51.0,227.0,60.0,191.0,191.0,60.0,227.0,15.0,100.0,52.0,122.0,294.0,65.0,328.0,18.0,193.0,174.0,278.0,90.0,218.0,196.0,90.0,57.0,144.0,48.0,102.0,4.0,145.0,355.0,,,,,,,,,,,
2025,B12,7.0,65.0,1.0,1126.0,76.0,Houston,1.0,2.0,62.4183,360.0,61.5016,360.0,116.89,19.0,123.269,11.0,91.9137,1.0,87.8253,2.0,35.4439,3.0,36.804,124.791,87.987,0.982,34.0,30.0,4.0,88.23529,52.7,44.9,28.2,34.1,14.6,21.7,36.1,70.7,29.3,63.9,62.4,49.0,43.9,39.8,30.9,15.8,6.6,44.4,55.0,65.5,34.5,56.9,43.1,61.425,76.82,79.578,2.278,75.695,74.1,70.9,1.167,0.92,38.577,11.6,2.0,9.0,1.0,1.0,91.0,4.0,318.0,214.0,27.0,17.0,16.0,159.0,159.0,16.0,360.0,269.0,5.0,4.0,36.0,6.0,9.0,333.0,265.0,69.0,296.0,59.0,310.0,360.0,238.0,255.0,105.0,5.0,112.0,121.0,18.0,1.0,14.0,,,,,,,,,,,
2025,B10,6.0,65.0,1.0,1125.0,78.0,Illinois,6.0,32.0,72.3857,16.0,71.4016,18.0,115.12,31.0,121.633,15.0,102.486,86.0,98.0448,40.0,23.5881,20.0,23.718,122.207,98.489,0.923,33.0,21.0,12.0,63.63636,52.3,47.3,34.6,26.8,15.8,12.7,36.0,73.7,26.3,64.0,72.3,57.3,46.1,31.1,33.3,9.1,8.8,51.9,45.8,53.1,46.9,69.6,30.4,71.333,78.84,82.012,1.177,74.592,75.9,71.2,1.15,1.023,39.298,3.4,18.0,15.0,45.0,23.0,104.0,33.0,132.0,37.0,89.0,360.0,18.0,33.0,33.0,18.0,16.0,18.0,19.0,318.0,153.0,187.0,136.0,174.0,36.0,335.0,31.0,362.0,3.0,17.0,10.0,15.0,350.0,8.0,58.0,133.0,32.0,86.0,12.0,,,,,,,,,,,
2025,B12,7.0,68.0,4.0,1124.0,83.0,Iowa St.,3.0,32.0,69.4841,95.0,68.6373,102.0,113.82,41.0,119.483,20.0,96.4765,14.0,92.4824,10.0,27.0002,10.0,26.529,118.876,92.347,0.948,33.0,24.0,9.0,72.72727,54.6,48.4,38.5,28.9,16.9,21.8,32.2,71.6,28.4,67.8,69.5,55.1,47.5,35.8,33.2,10.2,9.3,53.9,55.3,63.1,36.9,59.3,40.7,68.54,77.854,81.053,2.401,35.926,75.7,75.0,1.14,0.965,36.738,5.4,10.0,20.0,8.0,8.0,50.0,67.0,40.0,76.0,167.0,16.0,111.0,107.0,107.0,111.0,100.0,46.0,52.0,71.0,140.0,124.0,178.0,119.0,272.0,135.0,234.0,119.0,249.0,106.0,79.0,67.0,70.0,87.0,63.0,319.0,41.0,15.0,26.0,,,,,,,,,,,
2025,B12,7.0,67.0,3.0,1123.0,86.0,Kansas,7.0,64.0,69.1559,110.0,68.4297,113.0,109.004,116.0,116.021,48.0,98.7957,27.0,92.761,11.0,23.2603,21.0,23.065,116.11,93.045,0.927,33.0,21.0,12.0,63.63636,53.1,46.2,24.3,28.0,16.7,15.6,30.4,72.5,27.5,69.6,69.2,53.4,46.1,35.2,30.9,13.1,9.0,60.9,52.8,65.7,34.3,59.3,40.7,68.297,77.963,82.013,2.526,65.96,71.1,72.7,1.09,0.991,41.748,4.1,22.0,43.0,10.0,21.0,79.0,16.0,355.0,54.0,154.0,287.0,169.0,69.0,69.0,169.0,110.0,90.0,19.0,102.0,36.0,33.0,152.0,19.0,213.0,68.0,297.0,119.0,249.0,115.0,69.0,14.0,31.0,19.0,226.0,223.0,116.0,31.0,7.0,,,,,,,,,,,
2025,SEC,28.0,65.0,1.0,1122.0,90.0,Kentucky,3.0,16.0,72.7146,11.0,71.013,24.0,116.923,17.0,123.868,8.0,106.759,191.0,99.6111,57.0,24.2565,16.0,25.148,123.862,98.714,0.931,33.0,22.0,11.0,66.66667,56.0,50.4,35.9,31.0,15.2,14.0,28.7,74.1,25.9,71.3,72.7,55.9,53.7,37.4,30.8,11.3,8.0,56.7,46.3,58.3,41.7,56.5,43.5,70.867,78.775,82.178,2.329,46.326,73.8,72.0,1.17,1.068,43.526,5.6,15.0,11.0,49.0,17.0,21.0,156.0,96.0,128.0,47.0,342.0,221.0,27.0,27.0,221.0,11.0,33.0,290.0,26.0,32.0,82.0,65.0,71.0,47.0,252.0,115.0,49.0,317.0,22.0,14.0,10.0,88.0,60.0,121.0,177.0,16.0,193.0,4.0,,,,,,,,,,,
2025,CUSA,13.0,66.0,2.0,1121.0,95.0,Liberty,12.0,64.0,66.4331,266.0,65.3931,284.0,111.512,69.0,112.496,80.0,96.8666,17.0,98.9632,48.0,13.5325,62.0,14.579,112.808,98.229,0.831,31.0,25.0,6.0,80.64516,58.4,45.9,30.9,26.3,15.3,16.9,18.9,72.0,28.0,81.1,66.4,57.7,48.0,39.5,28.0,7.8,9.1,61.2,39.4,52.3,47.7,65.6,34.4,65.369,75.67,79.4,2.265,2.365,65.4,73.6,1.115,0.971,13.412,-0.32,55.0,68.0,42.0,56.0,2.0,10.0,250.0,30.0,51.0,192.0,361.0,87.0,87.0,361.0,269.0,13.0,63.0,5.0,3.0,272.0,161.0,16.0,3.0,343.0,23.0,324.0,43.0,281.0,348.0,277.0,110.0,262.0,348.0,266.0,69.0,17.0,188.0,,,,,,,,,,,
2025,ASun,5.0,68.0,4.0,1120.0,96.0,Lipscomb,14.0,64.0,67.3035,218.0,65.9466,258.0,115.488,25.0,112.711,75.0,100.691,56.0,103.225,100.0,9.48582,83.0,6.677,110.718,104.041,0.672,32.0,23.0,9.0,71.875,55.9,48.6,31.4,22.3,14.4,15.9,24.0,73.5,26.5,76.0,67.3,56.7,49.9,36.7,31.0,7.7,10.1,54.4,39.5,52.6,47.4,62.8,37.2,66.081,76.309,80.035,2.583,0.2,79.6,67.1,1.15,1.003,11.694,-4.1,102.0,97.0,125.0,101.0,22.0,79.0,227.0,8.0,22.0,270.0,332.0,40.0,40.0,332.0,220.0,21.0,138.0,46.0,40.0,275.0,255.0,108.0,4.0,340.0,27.0,247.0,119.0,242.0,314.0,193.0,17.0,364.0,7.0,5.0,32.0,52.0,251.0,,,,,,,,,,,
2025,ACC,2.0,68.0,4.0,1119.0,102.0,Louisville,8.0,64.0,69.0231,121.0,68.826,90.0,113.399,44.0,118.177,27.0,99.6724,37.0,95.5301,21.0,22.6465,23.0,23.683,118.342,94.659,0.929,34.0,27.0,7.0,79.41176,53.4,49.2,34.5,26.8,16.5,18.6,32.2,72.8,27.2,67.8,69.0,57.0,48.3,33.0,33.7,8.1,9.7,51.9,46.6,51.9,48.1,60.3,39.7,68.807,78.008,81.168,2.555,20.225,74.4,71.4,1.135,0.995,29.98,5.5,19.0,25.0,16.0,19.0,72.0,100.0,137.0,37.0,136.0,93.0,111.0,59.0,59.0,111.0,125.0,19.0,79.0,218.0,177.0,252.0,219.0,174.0,53.0,347.0,19.0,157.0,214.0,92.0,65.0,58.0,23.0,129.0,104.0,143.0,43.0,35.0,59.0,,,,,,,,,,,
